Time,Treatment,Censored
68,Modified,0
70,Modified,0
73,Modified,0
75,Modified,0
77,Modified,0
80,Modified,0
80,Modified,0
132,Modified,0
148,Modified,0
155,Modified,0
183,Modified,0
197,Modified,0
206,Modified,0
210,Modified,0
130,Conventional,0
139,Conventional,0
146,Conventional,0
150,Conventional,0
161,Conventional,0
177,Conventional,0
228,Conventional,0
242,Conventional,0
265,Conventional,0
300,Conventional,1
300,Conventional,1
300,Conventional,1
300,Conventional,1
300,Conventional,1
